,name,genre,install,review,star
0,Sushi Roll 3D - Cooking ASMR Game,Simulation,"5,000,000+",24835.0,4.1
1,마술양품점,Casual,"100,000+",5984.0,4.7
2,Who is? Brain Teaser & Riddles,Trivia,"10,000,000+",494664.0,4.6
3,Pokémon GO,Adventure,"100,000,000+",14095968.0,4.1
4,KartRider Rush+,Racing,"10,000,000+",340437.0,4.0
5,Freeze Rider,Arcade,"1,000,000+",2455.0,4.5
6,Homescapes,Casual,"100,000,000+",9295134.0,4.3
7,Rider,Arcade,"50,000,000+",1024206.0,3.9
8,Sling Drift,Action,"50,000,000+",166725.0,4.0
9,리니지M,Role Playing,"1,000,000+",78446.0,2.9
10,리니지2M,Role Playing,"1,000,000+",80664.0,3.5
11,FIFA Mobile,Sports,"1,000,000+",40252.0,3.5
12,Cat Escape,Casual,"5,000,000+",53771.0,4.3
13,Bubble Shooter,Casual,"5,000,000+",66932.0,4.8
14,Cookie Run: OvenBreak - Endless Running Platformer,Arcade,"10,000,000+",837108.0,4.4
15,Super Penguins,Action,"10,000,000+",257902.0,4.3
16,Sky Castle - (nonogram),Puzzle,"100,000+",3933.0,4.4
17,Grow Castle - Tower Defense,Arcade,"10,000,000+",379675.0,4.4
18,Water Sort Puzzle,Puzzle,"10,000,000+",61041.0,3.8
19,Detective S : Mystery game & Find the differences,Adventure,"100,000+",5365.0,4.4
20,Rebel Racing,Racing,"10,000,000+",369914.0,4.4
21,세븐나이츠2,Role Playing,"1,000,000+",36774.0,4.2
22,모두의마블,Board,"10,000,000+",1597398.0,3.2
23,쿵야 캐치마인드,Trivia,"1,000,000+",22337.0,4.1
24,오목 도장,Board,"100,000+",3613.0,4.6
25,포트리스M,Action,"1,000,000+",20586.0,3.3
26,메이플스토리M,Role Playing,"1,000,000+",87055.0,3.6
27,바람의나라: 연,Role Playing,"1,000,000+",55997.0,2.8
28,가디언 테일즈,Role Playing,"1,000,000+",66648.0,3.9
29,프렌즈레이싱,Racing,"5,000,000+",95863.0,3.8
